,0,1
1215,485.4,10.7
1216,485.4,10.82
1217,485.4,10.94
1218,485.4,11.06
1219,485.4,11.18
1220,485.4,11.3
1221,489.1,4.22
1222,489.1,4.34
1223,489.1,4.46
1224,489.1,4.58
1225,489.1,4.7
1226,489.1,4.82
1227,489.1,4.94
1228,489.1,5.06
1229,489.1,5.18
1230,489.1,5.3
1231,489.1,5.42
1232,489.1,5.54
1233,489.1,5.66
1234,489.1,5.78
1235,489.1,5.9
1236,489.1,6.02
1237,489.1,6.14
1238,489.1,6.26
1239,489.1,6.38
1240,489.1,6.5
1241,489.1,6.62
1242,489.1,6.74
1243,489.1,6.86
1244,489.1,6.98
1245,489.1,7.1
1246,489.1,7.22
1247,489.1,7.34
1248,489.1,7.46
1249,489.1,7.58
1250,489.1,7.7
1251,489.1,7.82
1252,489.1,7.94
1253,489.1,8.06
1254,489.1,8.18
1255,489.1,8.3
1256,489.1,8.42
1257,489.1,8.54
1258,489.1,8.66
1259,489.1,8.78
1260,489.1,8.9
1261,489.1,9.02
1262,489.1,9.14
1263,489.1,9.26
1264,489.1,9.38
1265,489.1,9.5
1266,489.1,9.62
1267,489.1,9.74
1268,489.1,9.86
1269,489.1,9.98
1270,489.1,10.1
1271,489.1,10.22
1272,489.1,10.34
1273,489.1,10.46
1274,489.1,10.58
1275,489.1,10.7
1276,489.1,10.82
1277,489.1,10.94
1278,489.1,11.06
1279,489.1,11.18
1280,489.1,11.3
1281,489.1,11.42
1282,492.8,4.34
1283,492.8,4.46
1284,492.8,4.58
1285,492.8,4.7
1286,492.8,4.82
1287,492.8,4.94
1288,492.8,5.06
1289,492.8,5.18
1290,492.8,5.3
1291,492.8,5.42
1292,492.8,5.54
1293,492.8,5.66
1294,492.8,5.78
1295,492.8,5.9
1296,492.8,6.02
1297,492.8,6.14
1298,492.8,6.26
1299,492.8,6.38
1300,492.8,6.5
1301,492.8,6.62
1302,492.8,6.74
1303,492.8,6.86
1304,492.8,6.98
1305,492.8,7.1
1306,492.8,7.22
1307,492.8,7.34
1308,492.8,7.46
1309,492.8,7.58
1310,492.8,7.7
1311,492.8,7.82
1312,492.8,7.94
1313,492.8,8.06
1314,492.8,8.18
1315,492.8,8.3
1316,492.8,8.42
1317,492.8,8.54
1318,492.8,8.66
1319,492.8,8.78
1320,492.8,8.9
1321,492.8,9.02
1322,492.8,9.14
1323,492.8,9.26
1324,492.8,9.38
1325,492.8,9.5
1326,492.8,9.62
1327,492.8,9.74
1328,492.8,9.86
1329,492.8,9.98
1330,492.8,10.1
1331,492.8,10.22
1332,492.8,10.34
1333,492.8,10.46
1334,492.8,10.58
1335,492.8,10.7
1336,492.8,10.82
1337,492.8,10.94
1338,492.8,11.06
1339,492.8,11.18
1340,492.8,11.3
1341,492.8,11.42
1342,492.8,11.54
1343,496.5,4.34
1344,496.5,4.46
1345,496.5,4.58
1346,496.5,4.7
1347,496.5,4.82
1348,496.5,4.94
1349,496.5,5.06
1350,496.5,5.18
1351,496.5,5.3
1352,496.5,5.42
1353,496.5,5.54
1354,496.5,5.66
1355,496.5,5.78
1356,496.5,5.9
1357,496.5,6.02
1358,496.5,6.14
1359,496.5,6.26
1360,496.5,6.38
1361,496.5,6.5
1362,496.5,6.62
1363,496.5,6.74
1364,496.5,6.86
1365,496.5,6.98
1366,496.5,7.1
1367,496.5,7.22
1368,496.5,7.34
1369,496.5,7.46
1370,496.5,7.58
1371,496.5,7.7
1372,496.5,7.82
1373,496.5,7.94
1374,496.5,8.06
1375,496.5,8.18
1376,496.5,8.3
1377,496.5,8.42
1378,496.5,8.54
1379,496.5,8.66
1380,496.5,8.78
1381,496.5,8.9
1382,496.5,9.02
1383,496.5,9.14
1384,496.5,9.26
