,Q_f_i [m^3/hr],TDS_f_i [mg/L],Q_c_i [m^3/hr],Q_p_i [m^3/hr],TDS_p_i [mg/L],TDS_c_i [mg/L],P_f_i [psi],P_c_i [psi],c_f_i [ppm],c_c_i [ppm],c_p_i [ppm],rr_i [-],c_fc_i [ppm],pf_i [-],TDS_m_i [mg/L],pi_m_i [psi],pi_p_i [psi],A [m/(s*Pa)],B [m/s],R [-]
10,5.99,35791,5.83,0.17,5660,36659,374.6959,363.5959,35038.07438,35865.84209,5663.886444,0.027688741,35472.53574,1.003960821,36338.66333,415.2805328,64.68283641,8.06E-12,3.71E-08,0.838350522
11,6.49,35791,6.33,0.17,5669.764706,36587,374.6959,362.2959,35038.07438,35797.21689,5673.60775,0.026710561,35437.53768,1.003836815,36300.24683,414.8415066,64.79442809,8.21E-12,3.72E-08,0.838073072
12,6.99,35791,6.83,0.17,5686.411765,36525,374.6959,360.8959,35038.07438,35738.11753,5690.18331,0.024752232,35407.43955,1.003547554,36261.70755,414.4010773,64.98467172,8.24E-12,3.74E-08,0.837599999
13,7.49,35791,7.33,0.17,5709.117647,36470,374.6959,359.4959,35038.07438,35685.68646,5712.792501,0.021807842,35380.99625,1.003134375,36223.00705,413.9588055,65.24415598,8.19E-12,3.75E-08,0.836954724
14,7.99,35791,7.83,0.17,5737,36422,374.6959,357.9959,35038.07438,35639.9252,5740.555175,0.020824734,35357.87755,1.002969149,36195.09937,413.6398749,65.56279726,8.26E-12,3.77E-08,0.836162367
15,8.49,35791,8.33,0.17,5769.823529,36378,374.6959,356.4959,35038.07438,35597.97473,5773.237197,0.019841627,35336.83177,1.002845317,36170.62642,413.3601964,65.93790662,8.39E-12,3.80E-08,0.83522961
16,4,35793,3.77,0.23,4468.391304,37668,394.6959,388.5959,35039.98281,36826.83505,4475.339928,0.056674363,35988.49325,1.008313129,36981.53893,422.6273556,51.0650572,8.27E-12,3.89E-08,0.872279049
17,4.49,35793,4.27,0.23,4402.217391,37475,394.6959,387.4959,35039.98281,36643.12058,4409.302957,0.05093211,35891.42503,1.007423343,36857.66218,421.2116843,50.30881756,8.07E-12,3.85E-08,0.874163667
18,4.99,35793,4.76,0.24,4360,37315,394.6959,386.2959,35039.98281,36490.78159,4367.178682,0.046127195,35811.38771,1.006701789,36760.01421,420.0957572,49.82635455,8.25E-12,3.98E-08,0.875365844
19,5.49,35793,5.26,0.24,4328.916667,37179,394.6959,384.9959,35039.98281,36361.26717,4336.150709,0.042269266,35744.12395,1.006144048,36675.95322,419.1351029,49.47113226,8.25E-12,3.96E-08,0.876251346
20,5.99,35793,5.76,0.24,4310.125,37064,394.6959,383.6959,35039.98281,36251.73245,4317.389132,0.039367052,35686.82075,1.005703896,36605.4872,418.3298128,49.25637991,8.23E-12,3.95E-08,0.876786779
21,6.49,35793,6.26,0.24,4301.791667,36963,394.6959,382.3959,35039.98281,36155.51814,4309.065382,0.03645898,35636.98283,1.005293392,36543.44919,417.6208385,49.16114605,8.25E-12,3.95E-08,0.877024329
22,6.99,35793,6.76,0.24,4301.666667,36875,394.6959,380.9959,35039.98281,36071.67698,4308.934102,0.033542106,35593.71242,1.004853548,36486.7537,416.9729189,49.15971755,8.27E-12,3.95E-08,0.877028076
23,7.49,35793,7.26,0.24,4308.666667,36797,394.6959,379.5959,35039.98281,35997.35475,4315.912975,0.031595564,35555.56313,1.004589933,36441.0599,416.4507272,49.23971399,8.33E-12,3.96E-08,0.876828907
24,7.99,35793,7.76,0.24,4322.291667,36727,394.6959,378.0959,35039.98281,35930.64855,4329.504029,0.028666921,35521.3513,1.004150397,36393.49333,415.9071335,49.39542134,8.28E-12,3.98E-08,0.876441034
25,8.49,35793,8.26,0.23,4336.652174,36665,394.6959,376.5959,35039.98281,35871.56055,4343.814267,0.027689725,35490.70766,1.004025648,36357.12533,415.4915177,49.55953412,8.13E-12,3.84E-08,0.876032637
26,8.99,35793,8.76,0.23,4360.130435,36609,394.6959,374.9959,35039.98281,35818.18642,4367.235489,0.02573238,35463.64612,1.003720083,36321.05095,415.0792574,49.82784517,8.18E-12,3.86E-08,0.875364223
27,9.49,35793,9.26,0.23,4387.869565,36558,394.6959,373.3959,35039.98281,35769.57426,4394.906612,0.023772083,35438.55534,1.003445199,36287.90576,414.7004721,50.1448497,8.20E-12,3.89E-08,0.874574521
28,9.99,35793,9.76,0.23,4419.782609,36512,394.6959,371.7959,35039.98281,35725.72509,4426.739969,0.02279095,35416.20122,1.003323076,36262.28623,414.4076905,50.50955397,8.32E-12,3.91E-08,0.873666035
29,10.5,35793,10.3,0.22,4405,36469,394.6959,370.0959,35039.98281,35684.73313,4411.978803,0.020825722,35395.54892,1.003059339,36221.04939,413.9364333,50.34061739,8.05E-12,3.79E-08,0.874087301
30,11,35793,10.8,0.22,4441.5,36431,394.6959,368.3959,35039.98281,35648.50567,4448.386612,0.020825722,35376.76775,1.003059339,36203.53931,413.736327,50.75774168,8.24E-12,3.82E-08,0.873048265
31,3.99,35795,3.69,0.31,3471.16129,38489,414.6959,408.6959,35041.89124,37607.7933,3479.011308,0.077504472,36445.23927,1.011676655,37538.38115,428.9909836,39.66864981,7.93E-12,3.97E-08,0.900718506
32,4.49,35795,4.18,0.31,3376.322581,38238,414.6959,407.5959,35041.89124,37369.12813,3384.232985,0.069975784,36314.62877,1.010511805,37371.41522,427.0828864,38.58482706,7.61E-12,3.89E-08,0.903423221
33,4.99,35795,4.67,0.32,3278.0625,38028,414.6959,406.3959,35041.89124,37169.38515,3286.000283,0.064296213,36205.55111,1.009695237,37212.08098,425.2620048,37.46190467,7.73E-12,3.95E-08,0.906226514
34,5.49,35795,5.17,0.33,3242.090909,37847,414.6959,405.1959,35041.89124,36997.17967,3250.046999,0.060491569,36112.62824,1.009014264,37117.64305,424.182762,37.05081907,7.89E-12,4.02E-08,0.907252523
35,5.99,35795,5.66,0.33,3201.121212,37690,414.6959,403.8959,35041.89124,36847.77351,3209.084525,0.055725383,36031.77734,1.008308201,37016.18231,423.0232624,36.58261479,7.77E-12,3.98E-08,0.90842148
36,6.49,35795,6.16,0.33,3171.969697,37552,414.6959,402.4959,35041.89124,36716.42181,3179.933956,0.051899489,35961.69245,1.007752317,36929.92736,422.0375354,36.24946944,7.74E-12,3.95E-08,0.909253358
37,6.99,35795,6.66,0.33,3152.333333,37429,414.6959,401.1959,35041.89124,36599.32654,3160.295148,0.0480581,35899.60559,1.007153756,36850.20345,421.1264456,36.02506384,7.67E-12,3.94E-08,0.909813796
38,7.49,35795,7.16,0.33,3140.242424,37320,414.6959,399.6959,35041.89124,36495.54269,3148.198888,0.045168552,35844.4565,1.00670497,36782.27531,420.3501584,35.88688817,7.69E-12,3.93E-08,0.91015899
39,7.99,35795,7.66,0.33,3135.090909,37221,414.6959,398.2959,35041.89124,36401.26685,3143.04025,0.042273167,35794.69339,1.006256543,36719.56152,419.6334613,35.82801633,7.70E-12,3.93E-08,0.910306204
40,8.49,35795,8.16,0.33,3136.484848,37131,414.6959,396.7959,35041.89124,36315.55043,3144.425434,0.040340314,35749.51613,1.006000523,36667.78405,419.0417452,35.84394635,7.76E-12,3.93E-08,0.910266674
41,8.99,35795,8.66,0.33,3142.636364,37050,414.6959,395.1959,35041.89124,36238.39661,3150.565875,0.036461918,35709.00399,1.005403039,36609.16357,418.3718266,35.91424626,7.74E-12,3.94E-08,0.910091443
42,9.49,35795,9.16,0.33,3153.909091,36976,414.6959,393.5959,35041.89124,36167.90291,3161.825919,0.035492564,35672.10692,1.005296569,36570.3517,417.928282,36.04307169,7.86E-12,3.96E-08,0.909770112
43,9.99,35795,9.65,0.33,3116.606061,36921,414.6959,391.9959,35041.89124,36115.50431,3124.469802,0.033546026,35649.40158,1.005019166,36526.94677,417.4322479,35.61677032,8.27E-12,3.94E-08,0.910836154
44,10.5,35795,10.2,0.32,3169.71875,36845,414.6959,390.2959,35041.89124,36043.09245,3177.597218,0.03159851,35607.02645,1.004736796,36480.77283,416.9045691,36.22374547,7.77E-12,3.88E-08,0.909320042
45,11,35795,10.7,0.32,3192.28125,36787,414.6959,388.6959,35041.89124,35987.82569,3200.139589,0.029647064,35578.08738,1.004429026,36443.40795,416.4775609,36.48159114,7.78E-12,3.91E-08,0.908676744
46,11.5,35795,11.2,0.33,3182.69697,36745,414.6959,386.8959,35041.89124,35947.80218,3190.502224,0.028670854,35561.30118,1.004315899,36421.44129,416.2265245,36.37206139,8.55E-12,4.02E-08,0.908951769
47,12,35795,11.7,0.31,3206.935484,36683,414.6959,385.1959,35041.89124,35888.71565,3214.764336,0.026715484,35526.60697,1.004073397,36371.48521,415.6556234,36.64906065,7.73E-12,3.85E-08,0.908259394
48,12.5,35795,12.2,0.31,3237.548387,36637,414.6959,383.3959,35041.89124,35844.874,3245.348636,0.025734351,35503.6929,1.003869102,36343.91027,415.3404951,36.99890684,7.88E-12,3.88E-08,0.907386602
49,13,35795,12.7,0.31,3245.193548,36605,414.6959,381.5959,35041.89124,35814.37382,3252.922432,0.024756172,35490.65565,1.003778558,36329.73481,415.1784971,37.08627622,8.35E-12,3.87E-08,0.907170466
50,13.5,35795,13.2,0.31,3307.16129,36554,414.6959,379.6959,35041.89124,35765.7614,3314.891056,0.022793911,35461.90785,1.003483972,36293.36144,414.76282,37.79444748,8.06E-12,3.96E-08,0.905402051
51,14,35795,13.7,0.31,3345.225806,36517,414.6959,377.7959,35041.89124,35730.49144,3352.911884,0.021809816,35443.04181,1.003279819,36269.32526,414.488133,38.22945117,8.20E-12,4.00E-08,0.90431704
52,14.5,35795,14.2,0.31,3373.290323,36487,414.6959,375.8959,35041.89124,35701.89285,3380.900282,0.020827698,35430.35838,1.003166639,36254.7128,414.3211409,38.55017422,8.48E-12,4.02E-08,0.903518327
53,3.99,35797,3.58,0.4,2669.225,39584,434.6959,428.8959,35043.79967,38648.02569,2676.6876,0.10259307,37083.77142,1.016523815,38183.78221,436.3666676,30.50407138,7.39E-12,3.95E-08,0.923618796
54,4.49,35797,4.07,0.44,2607.113636,39277,434.6959,427.7959,35043.79967,38356.53737,2614.576302,0.09522293,36916.50947,1.015026277,38044.14876,434.7709277,29.79425881,7.74E-12,4.18E-08,0.925391187
55,4.99,35797,4.55,0.44,2516.204545,39014,434.6959,426.5959,35043.79967,38106.72882,2523.612507,0.088726902,36774.58407,1.013894478,37871.14927,432.7938786,28.75534399,7.48E-12,4.06E-08,0.927986904
56,5.49,35797,5.04,0.44,2443.454545,38786,434.6959,425.3959,35043.79967,37890.09219,2450.806496,0.082200571,36652.02187,1.012813328,37718.75476,431.0523046,27.92395241,7.25E-12,3.97E-08,0.930064476
57,5.99,35797,5.53,0.47,2367.382979,38584,434.6959,424.0959,35043.79967,37698.10339,2374.667314,0.077522619,36544.35794,1.01217166,37576.0933,429.4219605,27.05460176,7.62E-12,4.16E-08,0.932237162
58,6.49,35797,6.02,0.47,2321.617021,38405,434.6959,422.7959,35043.79967,37527.93041,2328.852018,0.07187758,36449.98936,1.011251715,37457.15008,428.0626698,26.53158551,7.46E-12,4.10E-08,0.933544535
59,6.99,35797,6.51,0.47,2285.553191,38243,434.6959,421.3959,35043.79967,37373.88321,2292.745538,0.068098924,36364.50209,1.010634045,37357.54593,426.9243874,26.11944579,7.38E-12,4.05E-08,0.934574859
60,7.49,35797,7.01,0.48,2270.375,38097,434.6959,419.9959,35043.79967,37235.02132,2277.550563,0.064309697,36288.24233,1.009983911,37279.49309,426.0323946,25.94598847,7.48E-12,4.09E-08,0.935008458
61,7.99,35797,7.5,0.49,2270.795918,37964,434.6959,418.4959,35043.79967,37108.49969,2277.96398,0.061456954,36219.14096,1.009432654,37215.9318,425.3060121,25.95079875,7.60E-12,4.14E-08,0.934996661
62,8.49,35797,8,0.49,2245.387755,37851,434.6959,416.9959,35043.79967,37000.98578,2252.523994,0.058601307,36158.27624,1.008999981,37143.59009,424.4792865,25.66043266,7.72E-12,4.10E-08,0.93572261
63,8.99,35797,8.5,0.49,2245.183673,37729,434.6959,415.4959,35043.79967,36884.89014,2252.308691,0.05573505,36097.93401,1.008523975,37070.67599,423.6460195,25.6581004,7.61E-12,4.10E-08,0.935728753
64,9.49,35797,9,0.49,2202.979592,37626,434.6959,413.8959,35043.79967,36786.85987,2210.040807,0.05094957,36044.967,1.007933424,36971.38838,422.5113545,25.1757895,7.54E-12,4.11E-08,0.936934898
65,9.99,35797,9.5,0.49,2191.326531,37537,434.6959,412.2959,35043.79967,36702.14296,2198.369318,0.049990933,35997.75025,1.007803995,36923.92553,421.9689461,25.04261758,7.74E-12,4.09E-08,0.937267952
66,10.5,35797,10,0.49,2204.040816,37440,434.6959,410.6959,35043.79967,36609.79928,2211.085507,0.046144707,35950.48313,1.007228118,36861.3446,421.2537673,25.18791724,7.60E-12,4.11E-08,0.936905087
67,11,35797,10.5,0.48,2195.645833,37357,434.6959,408.9959,35043.79967,36530.77381,2202.664023,0.045177308,35908.01594,1.007055543,36807.50199,420.6384506,25.09197884,7.55E-12,4.03E-08,0.9371454
68,11.5,35797,11,0.49,2208.755102,37285,434.6959,407.2959,35043.79967,36462.21431,2215.789444,0.043247397,35870.13702,1.006724156,36771.45509,420.2265043,25.24179239,7.90E-12,4.12E-08,0.936770856
69,12,35797,11.5,0.48,2216.375,37206,434.6959,405.4959,35043.79967,36386.98152,2223.39466,0.040349097,35831.19898,1.00635085,36715.38639,419.5857476,25.32887307,7.65E-12,4.07E-08,0.936553836
70,12.5,35797,12,0.48,2231.041667,37138,434.6959,403.6959,35043.79967,36322.21765,2238.06499,0.038411385,35796.47714,1.006057423,36674.55845,419.1191634,25.49648466,7.72E-12,4.09E-08,0.936135208
71,13,35797,12.5,0.48,2239.229167,37080,434.6959,401.8959,35043.79967,36266.9731,2246.243168,0.038411385,35767.02994,1.006057423,36648.31184,418.8192155,25.59005192,7.97E-12,4.10E-08,0.935901837
72,13.5,35797,13,0.48,2268.979167,37013,434.6959,400.0959,35043.79967,36203.15066,2276.013767,0.034528115,35733.1165,1.005485277,36599.02789,418.2559954,25.9300368,7.88E-12,4.15E-08,0.935052312
73,14,35797,13.5,0.48,2291.020833,36957,434.6959,398.1959,35043.79967,36149.80202,2298.0609,0.033555837,35704.58035,1.005353429,36569.38102,417.917189,26.18193035,7.99E-12,4.18E-08,0.934423181
74,14.5,35797,14,0.47,2274.255319,36909,434.6959,396.2959,35043.79967,36104.07136,2281.26606,0.032578644,35679.62243,1.005182621,36531.00615,417.4786387,25.990333,8.07E-12,4.12E-08,0.934902434
75,15,35797,14.5,0.46,2304.76087,36853,434.6959,394.3959,35043.79967,36050.71511,2311.773689,0.031603421,35651.2477,1.005035518,36498.29033,417.1047602,26.33895235,7.90E-12,4.09E-08,0.934031877
76,15.5,35797,15,0.45,2311.622222,36805,434.6959,392.3959,35043.79967,36004.97791,2318.611452,0.028680695,35626.83768,1.004772984,36461.64697,416.6859975,26.41736432,7.77E-12,4.04E-08,0.933836756
77,3.99,35799,3.47,0.52,2184.615385,40899,454.6959,448.9959,35045.70809,39895.20569,2191.363568,0.131713721,37875.95561,1.022639613,39066.96616,446.4597494,24.96592218,7.24E-12,4.07E-08,0.937471271
78,4.49,35799,3.94,0.57,2091.280702,40539,454.6959,447.9959,35045.70809,39553.99403,2097.94325,0.122698219,37670.50312,1.020655115,38858.17086,444.0736235,23.89928755,7.44E-12,4.25E-08,0.940136942
79,4.99,35799,4.41,0.58,1986.724138,40228,454.6959,446.7959,35045.70809,39259.09065,1993.258851,0.115438751,37494.20521,1.019306991,38644.16994,441.6280075,22.70440855,7.23E-12,4.16E-08,0.943124024
80,5.49,35799,4.89,0.61,1910.459016,39954,454.6959,445.5959,35045.70809,38999.16885,1916.889163,0.109973375,37340.97663,1.018312979,38478.34903,439.7329957,21.83284594,7.35E-12,4.22E-08,0.945303169
81,5.99,35799,5.37,0.62,1839.532258,39711,454.6959,444.3959,35045.70809,38768.57315,1845.850498,0.104470635,37205.59817,1.01728882,38314.25065,437.8576691,21.02229048,7.26E-12,4.17E-08,0.947330198
82,6.49,35799,5.86,0.63,1803.84127,39491,454.6959,443.0959,35045.70809,38559.73755,1810.094689,0.09895275,37083.87788,1.016231608,38193.43498,436.47698,20.61441162,7.17E-12,4.13E-08,0.94835046
83,6.99,35799,6.34,0.65,1750.384615,39291,454.6959,441.6959,35045.70809,38369.83266,1756.539762,0.094327959,36974.56135,1.015442386,38054.51282,434.8893688,20.00350561,7.25E-12,4.18E-08,0.949878605
84,7.49,35799,6.83,0.67,1717.80597,39109,454.6959,440.2959,35045.70809,38196.97419,1723.902797,0.089683327,36875.4671,1.01453112,37944.55721,433.6327891,19.6311948,7.33E-12,4.22E-08,0.950809874
85,7.99,35799,7.32,0.67,1686.38806,38941,454.6959,438.8959,35045.70809,38037.37443,1692.420754,0.085035857,36784.70307,1.013821197,37836.92659,432.4027797,19.27214894,7.23E-12,4.16E-08,0.951708188
86,8.49,35799,7.81,0.68,1650.882353,38785,454.6959,437.3959,35045.70809,37889.14188,1656.835339,0.081300224,36701.78198,1.013292894,37727.86476,431.1564142,18.86638749,7.28E-12,4.17E-08,0.952723588
87,8.99,35799,8.3,0.69,1632.971014,38641,454.6959,435.8959,35045.70809,37752.28381,1638.887547,0.07754074,36624.71534,1.012532071,37638.25049,430.1322967,18.66169558,7.31E-12,4.19E-08,0.953235713
88,9.49,35799,8.79,0.7,1612.685714,38506,454.6959,434.2959,35045.70809,37623.95492,1618.556487,0.072843788,36553.29034,1.011835778,37547.17539,429.0914848,18.42987389,7.36E-12,4.22E-08,0.953815843
89,9.99,35799,9.29,0.7,1600.585714,38380,454.6959,432.6959,35045.70809,37504.15992,1606.426235,0.070007446,36486.97916,1.011308955,37469.17183,428.2000551,18.29159433,7.33E-12,4.19E-08,0.95416197
90,10.5,35799,9.78,0.7,1590.985714,38262,454.6959,431.0959,35045.70809,37391.95224,1596.800145,0.06622593,36424.3888,1.010732429,37393.91446,427.3400092,18.18188493,7.30E-12,4.17E-08,0.954436642
91,11,35799,10.3,0.71,1576.314085,38151,454.6959,429.4959,35045.70809,37286.38443,1582.086944,0.065279857,36367.29036,1.010660545,37328.71903,426.5949517,18.01421662,7.46E-12,4.21E-08,0.954856471
92,11.5,35799,10.8,0.71,1573.374648,38046,454.6959,427.6959,35045.70809,37186.50823,1579.134547,0.062428111,36312.97637,1.010161823,37263.51998,425.8498528,17.98062455,7.46E-12,4.21E-08,0.954940715
93,12,35799,11.3,0.71,1572.58169,37947,454.6959,425.9959,35045.70809,37092.3261,1578.332771,0.059574423,36261.59632,1.009723453,37203.19552,425.1604611,17.97156258,7.48E-12,4.20E-08,0.954963593
94,12.5,35799,11.8,0.71,1574.650704,37854,454.6959,424.1959,35045.70809,37003.84035,1580.398442,0.056709165,36213.35174,1.009225241,37143.59137,424.4793012,17.9952074,7.49E-12,4.21E-08,0.954904651
95,13,35799,12.3,0.71,1578.823944,37765,454.6959,422.3959,35045.70809,36919.14989,1584.572118,0.053845865,36167.68697,1.008847697,37090.55274,423.8731724,18.04289945,7.53E-12,4.22E-08,0.954785558
96,13.5,35799,12.8,0.71,1585.426761,37681,454.6959,420.5959,35045.70809,36839.20785,1591.179826,0.052882368,36124.51901,1.008618141,37045.03773,423.3530239,18.11835685,7.59E-12,4.23E-08,0.954597013
97,14,35799,13.3,0.71,1593.86338,37601,454.6959,418.7959,35045.70809,36763.06403,1599.624133,0.050008434,36083.37991,1.008220928,36995.36963,422.7854138,18.21477108,7.65E-12,4.25E-08,0.954356062
98,14.5,35799,13.8,0.69,1575.77971,37526,454.6959,416.8959,35045.70809,36691.67161,1581.492648,0.048085315,36044.75217,1.008019697,36935.97254,422.1066201,18.00810976,7.51E-12,4.16E-08,0.954873429
99,15,35799,14.3,0.68,1584.497059,37454,454.6959,414.8959,35045.70809,36623.12799,1590.211063,0.048085315,36007.50481,1.008044694,36901.29807,421.710358,18.10773216,7.51E-12,4.11E-08,0.954624656
100,15.5,35799,14.8,0.68,1598.064706,37385,454.6959,412.9959,35045.70809,36557.43401,1603.793677,0.044229417,35973.00012,1.007411596,36849.70416,421.1207396,18.26278409,7.53E-12,4.14E-08,0.954237087
101,4.49,35801,3.81,0.69,1745.413043,41950,474.6959,468.1959,35047.6165,40890.40118,1751.341382,0.153121332,38524.86613,1.027560683,39773.58095,454.5349876,19.94669017,7.07E-12,4.20E-08,0.950029658
102,4.99,35801,4.27,0.72,1650.216667,41593,474.6959,466.9959,35047.6165,40552.51565,1655.979985,0.146031907,38312.95664,1.026021646,39537.31952,451.8349772,18.85877998,7.00E-12,4.18E-08,0.952750568
103,5.49,35801,4.73,0.76,1568.142105,41277,474.6959,465.8959,35047.6165,40253.29849,1573.762489,0.138914293,38127.34399,1.024528051,39328.32955,449.4466266,17.92082673,7.04E-12,4.23E-08,0.955096447
104,5.99,35801,5.2,0.79,1507.950633,40995,474.6959,464.6959,35047.6165,39986.16729,1513.461723,0.132637506,37962.89439,1.023036713,39157.7847,447.4976294,17.23295479,7.05E-12,4.24E-08,0.956816986
105,6.49,35801,5.68,0.82,1453.204878,40737,474.6959,463.3959,35047.6165,39741.68109,1458.591916,0.126340204,37814.48977,1.021806458,38984.66194,445.5191715,16.60731686,7.06E-12,4.25E-08,0.958382565
106,6.99,35801,6.15,0.84,1398.502381,40501,474.6959,462.0959,35047.6165,39517.9675,1403.765024,0.12091145,37680.10276,1.020794392,38817.59427,443.6099117,15.98217327,7.03E-12,4.24E-08,0.959946919
107,7.49,35801,6.63,0.86,1361.187209,40285,474.6959,460.6959,35047.6165,39313.1498,1366.364572,0.115471348,37557.15443,1.0197481,38685.1473,442.0962994,15.55573314,7.03E-12,4.23E-08,0.961014052
108,7.99,35801,7.11,0.89,1333.179775,40084,474.6959,459.2959,35047.6165,39122.50149,1338.285905,0.111810414,37444.56701,1.018897548,38568.00242,440.7575603,15.23566242,7.13E-12,4.28E-08,0.961815209
109,8.49,35801,7.59,0.9,1299.844444,39896,474.6959,457.7959,35047.6165,38944.13648,1304.866097,0.106327322,37340.48288,1.017955311,38438.17428,439.2738762,14.85470416,7.08E-12,4.25E-08,0.962768764
110,8.99,35801,8.07,0.91,1280.032967,39720,474.6959,456.2959,35047.6165,38777.1151,1285.004465,0.102663499,37243.60122,1.01729427,38341.93451,438.174042,14.62829735,7.06E-12,4.23E-08,0.963335468
111,9.49,35801,8.56,0.93,1253.604301,39556,474.6959,454.7959,35047.6165,38621.44549,1258.504638,0.098963974,37154.30027,1.016557068,38228.39264,436.8764783,14.32626889,7.14E-12,4.26E-08,0.964091577
112,9.99,35801,9.04,0.94,1232.394681,39401,474.6959,453.1959,35047.6165,38474.28675,1237.2366,0.094354384,37069.8133,1.015857389,38125.97802,435.7060776,14.08388402,7.14E-12,4.25E-08,0.96469841
113,10.5,35801,9.53,0.94,1217.08617,39254,474.6959,451.5959,35047.6165,38334.69457,1221.884077,0.091566749,36990.30458,1.015319283,38036.91332,434.6882407,13.90893739,7.10E-12,4.21E-08,0.965136457
114,11,35801,10,0.95,1199.154737,39116,474.6959,449.9959,35047.6165,38203.62339,1203.898493,0.087854857,36915.93667,1.014797617,37941.14785,433.5938268,13.70401584,7.13E-12,4.22E-08,0.965649633
115,11.5,35801,10.5,0.97,1188.451546,38985,474.6959,448.2959,35047.6165,38079.1779,1193.165473,0.084125022,36846.29216,1.014138468,37860.20958,432.6688591,13.58169911,7.25E-12,4.28E-08,0.965955874
116,12,35801,11,0.97,1180.536082,38859,474.6959,446.5959,35047.6165,37959.46126,1185.224547,0.081319256,36780.33232,1.013654707,37785.25185,431.8122375,13.49124069,7.23E-12,4.26E-08,0.966182449
117,12.5,35801,11.5,0.97,1174.408247,38741,474.6959,444.7959,35047.6165,37847.32699,1179.075708,0.078508764,36717.69956,1.013193568,37714.69742,431.005937,13.4212114,7.23E-12,4.24E-08,0.966357892
118,13,35801,12,0.98,1165.904082,38628,474.6959,443.0959,35047.6165,37739.92724,1170.541541,0.075683972,36658.56349,1.012702727,37636.10973,430.107832,13.32402526,7.30E-12,4.27E-08,0.966601394
119,13.5,35801,12.5,0.98,1163.865306,38519,474.6959,441.1959,35047.6165,37636.31354,1168.492451,0.072858152,36602.13296,1.012217418,37570.21753,429.3548118,13.30072601,7.31E-12,4.26E-08,0.96665986
120,14,35801,13,0.98,1163.365306,38416,474.6959,439.3959,35047.6165,37538.38917,1167.985939,0.070979441,36548.80619,1.011994084,37516.49298,428.7408442,13.29501198,7.35E-12,4.26E-08,0.966674312
121,14.5,35801,13.5,0.98,1164.894898,38318,474.6959,437.4959,35047.6165,37445.2056,1169.514315,0.06814213,36497.9259,1.011509114,37455.57653,428.0446871,13.31249225,7.37E-12,4.26E-08,0.966630703
122,15,35801,14,0.98,1167.610204,38223,474.6959,435.5959,35047.6165,37354.86267,1172.231269,0.065300048,36448.9506,1.011046479,37397.25595,427.378196,13.34352294,7.40E-12,4.26E-08,0.966553181
123,15.5,35801,14.5,0.98,1172.10102,38133,474.6959,433.6959,35047.6165,37269.26381,1176.727886,0.064349184,36403.72057,1.010873059,37351.77602,426.8584484,13.39484427,7.46E-12,4.27E-08,0.966424881
