,Q_f_HPP [m^3/hr],P_f_RO [bar],RO_rr [%],q_f [m^3/hr],P_c [bar],S_c [mg/L],num_turbos [-],turbo_model [-],suction_pressure [bar],exhaust_pressure [bar],bypass_flowrate [m^3/hr],turbo_efficiency [%],valve_position [-],P_hpp_outlet [bar],hpp_efficiency [%,motor_efficiency [%],vfd_efficiency [%],sec_system [kWh/m^3],warning [-]
772,399,39.67,36.2,9.099667119,36.7,57380,1,AT 3250,1.01,1.4,0,72.4,Closed,23.36,79.8,94.2,97,2.35,0
773,160.5,35.49,56,4.974048761,34.8,75727,0,0,0,0,0,0,0,0,0,0,0,0,1
774,1333.3,57.4,27.1,8.725645286,54.36,51404,1,AT 7800,1.01,1.4,0,77.2,Closed,27.59,86.4,95.6,97,3.4,0
775,1867.3,58.11,59.5,7.886164555,56.47,80133,0,0,0,0,0,0,0,0,0,0,0,0,1
776,1553.8,60.11,40.2,4.010885004,59.56,60512,1,AT 7800,1.01,1.4,0,78,Closed,32.97,87,95.8,97,2.73,0
777,466.5,45.73,54.3,13.92041053,40.23,73799,1,AT 3250,1.01,1.4,0,67.9,Closed,33.68,80.5,94.4,97,2.27,0
778,1249.4,62.35,42.9,14.75593145,55.17,62699,1,AT 6000,1.01,1.4,0,76.5,Closed,38.86,86.1,95.5,97,3.07,0
779,1704.3,62.52,20.7,6.644773139,60.62,47773,0,0,0,0,0,0,0,0,0,0,0,0,1
780,67.3,38.07,53.8,11.77248646,34.11,73192,1,AT 425,1.01,1.4,0,63.2,Closed,28.52,72,92.2,97,2.2,0
781,370.6,63.25,35.6,3.473336049,62.81,57070,1,AT 2150,1.01,2.9,0,72.2,Closed,35.4,79.5,94.2,97,3.7,0
782,169.7,47.68,51.1,9.440926582,45.04,70300,1,AT 875,1.01,1.4,0,64.6,Closed,33.9,76.1,93.3,97,2.6,0
783,1039.2,60.62,42.8,9.076847079,57.9,62651,1,AT 6000,1.01,1.4,0,75.4,Closed,36.24,85.2,95.3,97,2.9,0
784,731.6,29.4,26,3.533730244,28.89,50690,1,AT 6000,1.01,1.4,0,74.1,Closed,14.32,82.4,94.9,97,1.87,0
785,2150.2,36.31,56.5,8.402867442,34.37,76248,0,0,0,0,0,0,0,0,0,0,0,0,1
786,355.8,35.75,52.9,13.5494574,30.45,72227,1,LPT 1000,1.01,1.4,0,66.5,Closed,26.65,79.3,94.1,97,1.86,0
787,722.7,49.21,53.9,13.30508984,44.16,73338,1,AT 4150,1.01,1.4,0,69.6,Closed,35.5,82.4,94.9,97,2.34,0
788,1402,30.99,35.5,5.709004505,29.81,56868,0,0,0,0,0,0,0,0,0,0,0,0,1
789,1925.8,39.79,39,7.381966642,37.9,59474,0,0,0,0,0,0,0,0,0,0,0,0,1
790,1322.5,53.22,38,8.15127214,50.88,58739,1,AT 7800,1.01,1.4,0,77.2,Closed,29.52,86.3,95.6,97,2.6,0
791,1486.9,49.67,55.6,10.83845255,46.39,75306,1,AT 7800,1.01,1.4,0,72.3,Closed,35.22,86.8,95.7,97,2.12,0
792,1341.9,50.83,47.1,15.15433133,43.66,66377,1,AT 7800,1.01,1.4,0,75.7,Closed,33.91,86.4,95.6,97,2.42,0
793,212.9,64.7,26.3,5.03876407,63.68,50953,1,AT 1500,1.01,1.4,0,68.5,Closed,33.26,77.1,93.5,97,4.87,0
794,2029.4,58.99,22.3,8.332955913,56.06,48644,0,0,0,0,0,0,0,0,0,0,0,0,1
795,1785.4,43.23,45.6,14.84498642,36.21,64950,0,0,0,0,0,0,0,0,0,0,0,0,1
796,650.7,40.89,46.4,5.91657294,39.79,65741,1,AT 4150,1.01,1.4,0,72.4,Closed,25.98,81.9,94.8,97,1.98,0
797,1167.2,63.76,33.3,12.56749782,57.9,55431,1,AT 6000,1.01,1.4,0,76.5,Closed,34.95,85.7,95.4,97,3.57,0
798,686.3,29.35,53.2,9.742407602,26.62,72441,1,LPT 2000,1.01,1.4,0,107.3,Closed,16.69,82.1,94.9,97,1.08,0
799,1350.9,65.67,40.1,13.64570099,59.31,60378,1,AT 6000,1.01,1.6,0,77.2,Closed,38.97,86.4,95.6,97,3.28,0
800,2160.1,44.91,49.5,8.902584027,42.51,68664,0,0,0,0,0,0,0,0,0,0,0,0,1
801,901.6,52.78,38,9.616839193,49.53,58767,1,AT 4150,1.01,1.6,0,75.2,Closed,30.43,84.5,95.2,97,2.76,0
802,931.2,69.55,42.4,6.690086963,68.06,62287,1,AT 4150,1.01,1.4,0,74.6,Closed,40.91,84.6,95.2,97,3.35,0
803,450.3,31.38,36.6,4.674550771,30.6,57679,1,LPT 2000,1.01,1.4,0,74.3,Closed,17.62,80.3,94.4,97,1.71,0
804,1988.3,57.75,31.8,11.53850143,52.72,54367,0,0,0,0,0,0,0,0,0,0,0,0,1
805,1571.5,44.63,43.5,7.154583685,42.96,63136,1,AT 7800,1.01,1.4,0,77.7,Closed,26.38,87.1,95.8,97,2,0
806,1220.4,69.7,35.8,12.31524963,64.24,57200,1,AT 6000,1.01,1.4,0,76.4,Closed,38.87,85.9,95.5,97,3.69,0
807,2140.1,31.1,23.8,7.969691593,28.46,49433,0,0,0,0,0,0,0,0,0,0,0,0,1
808,529.8,28.17,42.5,6.532971148,26.75,62278,1,LPT 2000,1.01,1.4,0,80.6,Closed,16.43,81,94.6,97,1.36,0
