,0
23,"{'B_PSH': 1492350.359635163, 'N_pv1_sub': 862.7723561367346, 'a0_spring': 37.48816129761555, 'a1_spring': 0.02562791521427515, 'a7_spring': -0.8572178455121134, 'b1_spring': -0.7896761852913171, 'b7_spring': -0.4042081714373406, 'a0_summer': 37.24597801648657, 'a1_summer': -1.3113512136651482, 'a7_summer': -0.9248800987437368, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.489285441745913, 'a0_fall': 37.4006619015699, 'a1_fall': 1.4311795468093491, 'a7_fall': 0.4084065103531061, 'b1_fall': -0.6857234441356694, 'b7_fall': 0.9571728483775263, 'a0_winter': 37.26754316399671, 'a1_winter': 0.040413818220487854, 'a7_winter': 0.000710592295436796, 'b1_winter': -0.580558278925342, 'b7_winter': 1.4530213207917972, 'ERD_choice': 1}"
24,"{'B_PSH': 1492350.359635163, 'N_pv1_sub': 870.5735839630855, 'a0_spring': 37.48816129761555, 'a1_spring': 0.090505614087595, 'a7_spring': -0.8687711777335951, 'b1_spring': -0.787527778038572, 'b7_spring': -0.4214660900648608, 'a0_summer': 37.24597801648657, 'a1_summer': -1.3117241696757853, 'a7_summer': -0.9248800987437368, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.2736302018976689, 'a0_fall': 37.4006619015699, 'a1_fall': -0.15914839556407068, 'a7_fall': 0.4084065103531061, 'b1_fall': -0.688844212482125, 'b7_fall': 0.9244992427625869, 'a0_winter': 37.26754316399671, 'a1_winter': 0.040413818220487854, 'a7_winter': -0.043519436132012354, 'b1_winter': -0.5820040923574485, 'b7_winter': 1.4530213207917972, 'ERD_choice': 1}"
25,"{'B_PSH': 1495131.7159591194, 'N_pv1_sub': 911.1585549414713, 'a0_spring': 37.4928395667547, 'a1_spring': 0.0829899167097044, 'a7_spring': -0.8573256418555019, 'b1_spring': -0.6934830608057913, 'b7_spring': -0.43684964081440136, 'a0_summer': 37.229137636660184, 'a1_summer': -1.4535172647171741, 'a7_summer': -1.2001227942498296, 'b1_summer': -0.8383901401694834, 'b7_summer': 0.45766466986746723, 'a0_fall': 37.438659117598654, 'a1_fall': -0.2618871630856936, 'a7_fall': 0.5577918253381589, 'b1_fall': 0.11629393091530338, 'b7_fall': 0.9052364517112881, 'a0_winter': 37.27212805432963, 'a1_winter': -0.21234981296349748, 'a7_winter': -0.6153511872135934, 'b1_winter': -0.8399821230494087, 'b7_winter': 1.381333948443267, 'ERD_choice': 1}"
26,"{'B_PSH': 1490891.7550409453, 'N_pv1_sub': 863.6392416272196, 'a0_spring': 37.49933690126135, 'a1_spring': -0.2379397340350594, 'a7_spring': -0.8478718359261651, 'b1_spring': -0.690756109413605, 'b7_spring': -1.116737448533688, 'a0_summer': 37.337825616172616, 'a1_summer': -1.0860748308132295, 'a7_summer': -0.0020382190901493333, 'b1_summer': -0.8329280963813603, 'b7_summer': 0.49228053814633815, 'a0_fall': 37.40646697011797, 'a1_fall': 0.9642799518326689, 'a7_fall': -0.8885321027678655, 'b1_fall': 0.12780524550745304, 'b7_fall': 0.6662268880741625, 'a0_winter': 37.26973034558186, 'a1_winter': 0.9469630341324902, 'a7_winter': 1.1681624117856744, 'b1_winter': -1.0491053365747391, 'b7_winter': 1.412886660328567, 'ERD_choice': 1}"
27,"{'B_PSH': 1492350.359635163, 'N_pv1_sub': 862.7723561367346, 'a0_spring': 37.48816129761555, 'a1_spring': 0.02562791521427515, 'a7_spring': -0.8572178455121134, 'b1_spring': -0.7896761852913171, 'b7_spring': -0.4042081714373406, 'a0_summer': 37.24597801648657, 'a1_summer': -1.3113512136651482, 'a7_summer': -0.9248800987437368, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.489285441745913, 'a0_fall': 37.4006619015699, 'a1_fall': 1.4311795468093491, 'a7_fall': 0.4084065103531061, 'b1_fall': -0.6857234441356694, 'b7_fall': 0.9571728483775263, 'a0_winter': 37.26754316399671, 'a1_winter': 0.040413818220487854, 'a7_winter': -0.22128230198574828, 'b1_winter': -0.580558278925342, 'b7_winter': 1.4530213207917972, 'ERD_choice': 1}"
28,"{'B_PSH': 1490891.7550409453, 'N_pv1_sub': 863.6392416272196, 'a0_spring': 37.49933690126135, 'a1_spring': -0.2379397340350594, 'a7_spring': -0.8478718359261651, 'b1_spring': -0.690756109413605, 'b7_spring': -1.116737448533688, 'a0_summer': 37.337825616172616, 'a1_summer': -1.0860748308132295, 'a7_summer': 0.050494471365156446, 'b1_summer': -0.8329280963813603, 'b7_summer': 0.49228053814633815, 'a0_fall': 37.40646697011797, 'a1_fall': 0.9642799518326689, 'a7_fall': -0.8885321027678655, 'b1_fall': 0.12780524550745304, 'b7_fall': 0.6662268880741625, 'a0_winter': 37.26973034558186, 'a1_winter': 0.9469630341324902, 'a7_winter': 1.1681624117856744, 'b1_winter': -1.0491053365747391, 'b7_winter': 1.412886660328567, 'ERD_choice': 1}"
29,"{'B_PSH': 1493217.0240762183, 'N_pv1_sub': 889.6822986294866, 'a0_spring': 37.536376028530526, 'a1_spring': 0.024848884369152665, 'a7_spring': -1.023631025622108, 'b1_spring': -0.7649958425235187, 'b7_spring': -1.0635085098988413, 'a0_summer': 37.22953732600305, 'a1_summer': -1.3406419989027294, 'a7_summer': -0.9292902023278949, 'b1_summer': -0.42641880568359297, 'b7_summer': 0.4561679465254564, 'a0_fall': 37.53480113093091, 'a1_fall': 1.233186683722422, 'a7_fall': -0.8698137636126422, 'b1_fall': 0.24836498597834838, 'b7_fall': 0.8709366421190701, 'a0_winter': 37.265240854154975, 'a1_winter': 1.0442652351121895, 'a7_winter': -0.5122377665124155, 'b1_winter': -0.8204362527394499, 'b7_winter': 1.4504069329520863, 'ERD_choice': 1}"
30,"{'B_PSH': 1492350.359635163, 'N_pv1_sub': 862.680605489631, 'a0_spring': 37.44100521685722, 'a1_spring': 0.9144356371433056, 'a7_spring': -0.8572178455121134, 'b1_spring': -0.7901964505074289, 'b7_spring': -0.40181892004627545, 'a0_summer': 37.24597801648657, 'a1_summer': -1.3151940422159787, 'a7_summer': -0.9228172503195468, 'b1_summer': -0.5016207154743935, 'b7_summer': 0.4714321758778245, 'a0_fall': 37.40057637655775, 'a1_fall': 1.4311795468093491, 'a7_fall': 0.535719386105198, 'b1_fall': -0.21674657680943252, 'b7_fall': 0.6701325252371927, 'a0_winter': 37.2664755232535, 'a1_winter': 0.040413818220487854, 'a7_winter': -0.7181132520569932, 'b1_winter': -0.5815500724191198, 'b7_winter': 1.4530213207917972, 'ERD_choice': 1}"
31,"{'B_PSH': 1493472.4995589254, 'N_pv1_sub': 867.8795479333404, 'a0_spring': 37.4991480120109, 'a1_spring': 0.08504306083294469, 'a7_spring': -0.8577314401059961, 'b1_spring': -0.4794981885973402, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.228990205234695, 'a1_summer': -1.306790528025996, 'a7_summer': -0.938285344633203, 'b1_summer': -0.49204576690616975, 'b7_summer': 0.437962299557146, 'a0_fall': 37.43607574957931, 'a1_fall': 1.2325275813727081, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.18921834943458335, 'b7_fall': 0.6745151783313708, 'a0_winter': 37.26822410607391, 'a1_winter': -0.013990158923634838, 'a7_winter': -0.22095388958373055, 'b1_winter': -0.8015446424800614, 'b7_winter': -0.7443812804486472, 'ERD_choice': 1}"
32,"{'B_PSH': 1493452.912455996, 'N_pv1_sub': 890.2059279776253, 'a0_spring': 37.49231496582666, 'a1_spring': -0.11035789227794328, 'a7_spring': -0.8517671849906976, 'b1_spring': -0.6707329578267216, 'b7_spring': -0.8130114166606996, 'a0_summer': 37.228167920051014, 'a1_summer': -1.3067874550199479, 'a7_summer': -0.9383281225461443, 'b1_summer': -0.4644189439563989, 'b7_summer': 0.4880453795522284, 'a0_fall': 37.406316217985754, 'a1_fall': 1.240906934804164, 'a7_fall': 0.40166778041133594, 'b1_fall': 0.13801116534126812, 'b7_fall': 0.7179759376312637, 'a0_winter': 37.202197070557716, 'a1_winter': -0.34069195221812887, 'a7_winter': -0.22114006073895287, 'b1_winter': -0.6141503157924526, 'b7_winter': 1.495602249558077, 'ERD_choice': 1}"
