,0,1,2,3,4,5,6,7,8,9,10
75,-177722.85746105405,0.10714285714285715,-0.22023809523809523,0.047619047619047616,0.011904761904761918,0.0988095238095238,-0.05,-0.05,-0.05,0.0,0.0
76,-186369.0365549543,0.05357142857142855,-0.10119047619047619,0.08333333333333331,0.05357142857142855,-0.05,-0.05,0.05119047619047619,0.02738095238095238,0.0,0.0
77,-224887.31831877335,0.041666666666666685,0.14285714285714285,-0.005952380952380959,-0.17857142857142858,0.02738095238095238,0.057142857142857134,-0.020238095238095243,-0.05,0.0,0.0
78,-247068.2402356278,0.023809523809523836,-0.011904761904761918,-0.047619047619047616,0.14285714285714285,0.02738095238095238,-0.03214285714285715,-0.05,0.075,0.0,0.0
79,-39638.674364353355,0.10119047619047616,0.10119047619047616,-0.08333333333333334,0.0,-0.020238095238095243,0.06904761904761904,-0.05,0.0035714285714285657,0.0,0.0
80,-174897.7954378822,0.0,-0.125,-0.07142857142857142,0.13690476190476192,0.021428571428571422,-0.05,-0.05,0.11666666666666665,0.0,0.0
81,-225399.87034076778,0.08333333333333331,-0.01785714285714285,0.07738095238095238,-0.047619047619047616,0.021428571428571422,-0.03214285714285715,0.0988095238095238,-0.05,0.0,0.0
82,-75039.6971010982,-0.01785714285714285,0.059523809523809534,0.10714285714285715,-0.005952380952380959,-0.008333333333333338,0.09285714285714285,-0.05,0.021428571428571422,0.0,0.0
83,-51489.13331324322,0.13095238095238093,0.01785714285714285,0.059523809523809534,-0.125,0.0630952380952381,-0.03214285714285715,0.009523809523809518,-0.05,0.0,0.0
84,-90569.33801512804,0.047619047619047616,-0.01785714285714285,0.07142857142857145,0.10714285714285715,0.015476190476190477,-0.026190476190476195,0.04523809523809523,-0.05,0.0,0.0
85,-250000.0,0.10714285714285715,-0.005952380952380959,0.041666666666666685,0.05357142857142855,-0.05,-0.026190476190476195,0.08690476190476192,-0.026190476190476195,0.0,0.0
86,-227307.41792771645,-0.011904761904761918,0.19642857142857145,-0.053571428571428575,-0.10119047619047619,-0.05,0.09285714285714285,-0.05,-0.05,0.0,0.0
87,-249253.7338781598,0.11309523809523808,0.041666666666666685,0.011904761904761918,0.125,-0.05,-0.05,-0.01428571428571429,-0.05,0.0,0.0
88,-225911.34184944394,-0.047619047619047616,-0.11904761904761904,0.1607142857142857,0.011904761904761918,-0.05,-0.05,0.10476190476190476,0.015476190476190477,0.0,0.0
89,-216136.31129963233,0.10119047619047616,-0.047619047619047616,-0.011904761904761918,0.07142857142857145,0.075,-0.05,0.009523809523809518,0.039285714285714285,0.0,0.0
90,-216546.33155342168,0.09523809523809523,0.06547619047619047,0.059523809523809534,0.0,0.02738095238095238,-0.05,0.05119047619047619,-0.020238095238095243,0.0,0.0
91,-20747.179485341127,0.06547619047619047,-0.18452380952380953,0.041666666666666685,0.07738095238095238,0.02738095238095238,-0.05,0.08690476190476192,-0.05,0.0,0.0
92,-241029.61203221668,0.10714285714285715,0.01785714285714285,0.047619047619047616,0.06547619047619047,0.057142857142857134,-0.05,-0.008333333333333338,0.009523809523809518,0.0,0.0
93,-78041.64528227269,-0.023809523809523808,0.08333333333333331,-0.04166666666666666,0.08333333333333331,-0.05,0.057142857142857134,-0.05,0.08095238095238096,0.0,0.0
94,-236579.1778509346,0.18452380952380953,-0.01785714285714285,0.023809523809523836,0.023809523809523836,0.033333333333333326,-0.008333333333333338,0.039285714285714285,-0.020238095238095243,0.0,0.0
95,-241716.14066738318,0.07738095238095238,-0.07142857142857142,0.011904761904761918,0.14285714285714285,0.057142857142857134,-0.05,0.0035714285714285657,0.015476190476190477,0.0,0.0
96,-237655.30304121488,-0.10119047619047619,0.029761904761904767,0.07738095238095238,0.059523809523809534,-0.05,0.04523809523809523,0.075,0.021428571428571422,0.0,0.0
97,-240988.96349478673,-0.023809523809523808,0.029761904761904767,0.06547619047619047,0.06547619047619047,-0.05,0.06904761904761904,0.039285714285714285,0.05119047619047619,0.0,0.0
98,-245877.7680888827,-0.053571428571428575,0.041666666666666685,0.1607142857142857,0.011904761904761918,-0.0380952380952381,-0.05,0.10476190476190476,0.0035714285714285657,0.0,0.0
99,-245877.7680888827,-0.053571428571428575,0.041666666666666685,0.1607142857142857,0.011904761904761918,-0.0380952380952381,-0.05,0.10476190476190476,0.0035714285714285657,0.0,0.0
